cost_quality_audit_id,claim_id,candidate_id,candidate_model_id,baseline_model_id,protocol_scope_id,source_stress_test_ids,paired_outer_blocks,quality_metric,metric_direction,candidate_quality_mean,baseline_quality_mean,quality_delta_directional_mean,quality_delta_directional_median,quality_delta_directional_min,quality_delta_directional_max,quality_delta_positive_blocks,quality_delta_negative_blocks,quality_delta_zero_blocks,candidate_fit_seconds_mean,baseline_fit_seconds_mean,fit_seconds_delta_mean,fit_seconds_ratio_mean_of_pairs,fit_seconds_ratio_of_means,candidate_predict_seconds_mean,baseline_predict_seconds_mean,predict_seconds_delta_mean,predict_seconds_ratio_mean_of_pairs,predict_seconds_ratio_of_means,candidate_total_seconds_mean,baseline_total_seconds_mean,total_seconds_delta_mean,total_seconds_ratio_mean_of_pairs,total_seconds_ratio_of_means,fit_seconds_delta_per_quality_delta_mean,total_seconds_delta_per_quality_delta_mean,audit_status,audit_status_ru,row_status,interpretation_allowed_ru
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,average_precision,higher_is_better,0.959233,0.867493,0.091739,0.091753,0.086312,0.097726,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,2661.402412,2670.097865,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,balanced_accuracy,higher_is_better,0.933493,0.834347,0.099147,0.099086,0.094308,0.104622,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,2462.562419,2470.608213,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,brier_score,lower_is_better,0.041118,0.085436,0.044319,0.044311,0.042476,0.046459,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,5509.074374,5527.073868,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,f1,higher_is_better,0.901758,0.777296,0.124461,0.124019,0.118297,0.133108,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,1961.693097,1968.102429,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,log_loss,lower_is_better,0.139566,0.285162,0.145596,0.145293,0.14048,0.152968,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,1676.933718,1682.412671,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_02_seed_stability_grid,ST05_02_seed_stability_grid,50,roc_auc,higher_is_better,0.985042,0.939343,0.0457,0.045647,0.04268,0.049628,50,0,0,247.571415,3.416245,244.15517,74.059753,72.468865,0.87069,0.072976,0.797715,11.962781,11.931258,248.442106,3.489221,244.952885,72.70026,71.202747,5342.603309,5360.058902,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_03a_split_protocol_10x1,ST05_03a_split_protocol_10x1,30,average_precision,higher_is_better,0.959865,0.869536,0.090329,0.089415,0.082056,0.10197,30,0,0,191.476628,5.250848,186.225781,39.52483,36.46585,0.702036,0.056232,0.645805,12.891647,12.484734,192.178664,5.307079,186.871585,39.212486,36.211756,2061.638185,2068.787653,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_03a_split_protocol_10x1,ST05_03a_split_protocol_10x1,30,balanced_accuracy,higher_is_better,0.933858,0.836306,0.097552,0.097397,0.093306,0.104759,30,0,0,191.476628,5.250848,186.225781,39.52483,36.46585,0.702036,0.056232,0.645805,12.891647,12.484734,192.178664,5.307079,186.871585,39.212486,36.211756,1908.991616,1915.611728,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_03a_split_protocol_10x1,ST05_03a_split_protocol_10x1,30,brier_score,lower_is_better,0.040878,0.084599,0.043721,0.043588,0.041322,0.047085,30,0,0,191.476628,5.250848,186.225781,39.52483,36.46585,0.702036,0.056232,0.645805,12.891647,12.484734,192.178664,5.307079,186.871585,39.212486,36.211756,4259.397028,4274.168011,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
ST05_06_cost_quality_audit,miniboone_hgb_vs_logreg_average_precision_v01,openml_miniboone_41150,hist_gradient_boosting,logistic_regression,ST05_03a_split_protocol_10x1,ST05_03a_split_protocol_10x1,30,f1,higher_is_better,0.90215,0.779917,0.122233,0.121639,0.115253,0.131451,30,0,0,191.476628,5.250848,186.225781,39.52483,36.46585,0.702036,0.056232,0.645805,12.891647,12.484734,192.178664,5.307079,186.871585,39.212486,36.211756,1523.527167,1528.810543,quality_advantage_with_high_training_cost_disclosed,"Преимущество качества положительно во всех парных блоках, но стоимость обучения HGB существенно выше LR и должна быть явно раскрыта.",stage05_cost_quality_audit_derived,Разрешен только аудит соотношения качества и вычислительной стоимости; строка не является самостоятельным итоговым вердиктом этапа 5.
