stress_test_id,claim_id,run_group,protocol_variant_id,candidate_id,openml_dataset_id,dataset_name,target_name,target_class_0,target_class_1,positive_class_assumption,model_id,model_role,feature_policy_id,feature_count,single_level_cv_method,single_level_cv_n_splits,single_level_cv_n_repeats,single_level_cv_random_state,single_level_cv_blocks,parameter_space_policy,selected_parameter_set_id,selected_params_json,grid_candidate_count,non_nested_average_precision_mean,non_nested_average_precision_std_for_selected_params,fit_seconds,comparison_reference_id,comparison_reference_source_file,comparison_reference_stress_test_id,comparison_reference_protocol_variant_id,comparison_reference_random_state_scope,nested_outer_blocks,nested_average_precision_mean,optimism_delta_non_nested_minus_nested,audit_status,audit_status_ru,row_status,interpretation_allowed_ru
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260507,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9594109923250096,0.0019295386739942029,234.54322680004407,original_nested_5x2_seed_20260507,data_registry/openml_miniboone_nested_summary.csv,original_nested_cv_v01,nested_5x2_seed_20260507_v01,20260507,10,0.9593097386614368,0.00010125366357283117,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260507,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9594109923250096,0.0019295386739942029,234.54322680004407,stage05_02_nested_5x2_all_seeds,data_registry/openml_miniboone_stage05_seed_stability_outer_scores.csv,ST05_02_seed_stability_grid,nested_5x2_seed_grid_v01,all,50,0.9592326480817577,0.00017834424325191556,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260507,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9594109923250096,0.0019295386739942029,234.54322680004407,stage05_02_nested_5x2_seed_20260507,data_registry/openml_miniboone_stage05_seed_stability_outer_scores.csv,ST05_02_seed_stability_grid,nested_5x2_seed_grid_v01,20260507,10,0.9593097386614368,0.00010125366357283117,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260507,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9594109923250096,0.0019295386739942029,234.54322680004407,stage05_03a_nested_10x1_all_seeds,data_registry/openml_miniboone_stage05_split_10x1_outer_scores.csv,ST05_03a_split_protocol_10x1,nested_10x1_seed_grid_v01,all,30,0.9598648539256343,-0.00045386160062466097,non_nested_score_not_above_nested_reference,Невложенная оценка не выше выбранной вложенной внешней оценки; по данному сравнению оптимистический сдвиг не обнаружен.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260507,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9594109923250096,0.0019295386739942029,234.54322680004407,stage05_03a_nested_10x1_seed_20260507,data_registry/openml_miniboone_stage05_split_10x1_outer_scores.csv,ST05_03a_split_protocol_10x1,nested_10x1_seed_grid_v01,20260507,10,0.96000091379165,-0.0005899214666403862,non_nested_score_not_above_nested_reference,Невложенная оценка не выше выбранной вложенной внешней оценки; по данному сравнению оптимистический сдвиг не обнаружен.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260517,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9593801152419761,0.0016620000323991563,264.82430869998643,original_nested_5x2_seed_20260507,data_registry/openml_miniboone_nested_summary.csv,original_nested_cv_v01,nested_5x2_seed_20260507_v01,20260507,10,0.9593097386614368,7.037658053932194e-05,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260517,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9593801152419761,0.0016620000323991563,264.82430869998643,stage05_02_nested_5x2_all_seeds,data_registry/openml_miniboone_stage05_seed_stability_outer_scores.csv,ST05_02_seed_stability_grid,nested_5x2_seed_grid_v01,all,50,0.9592326480817577,0.00014746716021840633,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260517,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9593801152419761,0.0016620000323991563,264.82430869998643,stage05_02_nested_5x2_seed_20260517,data_registry/openml_miniboone_stage05_seed_stability_outer_scores.csv,ST05_02_seed_stability_grid,nested_5x2_seed_grid_v01,20260517,10,0.9592626896344809,0.00011742560749516961,non_nested_score_above_nested_reference,Невложенная оценка выше выбранной вложенной внешней оценки; зафиксирован потенциальный оптимистический сдвиг.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260517,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9593801152419761,0.0016620000323991563,264.82430869998643,stage05_03a_nested_10x1_all_seeds,data_registry/openml_miniboone_stage05_split_10x1_outer_scores.csv,ST05_03a_split_protocol_10x1,nested_10x1_seed_grid_v01,all,30,0.9598648539256343,-0.0004847386836581702,non_nested_score_not_above_nested_reference,Невложенная оценка не выше выбранной вложенной внешней оценки; по данному сравнению оптимистический сдвиг не обнаружен.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
ST05_07_non_nested_optimism_probe,miniboone_hgb_vs_logreg_average_precision_v01,non_nested_optimism_probe_v01,non_nested_grid_search_cv_v01,openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,hist_gradient_boosting,single_level_tuned_candidate,numeric_particleid_0_49_locked,50,RepeatedStratifiedKFold,5,2,20260517,10,same_locked_space_as_nested_cv_v01,hgb_8316cb7622a5,"{""l2_regularization"": 0.01, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 63}",16,0.9593801152419761,0.0016620000323991563,264.82430869998643,stage05_03a_nested_10x1_seed_20260517,data_registry/openml_miniboone_stage05_split_10x1_outer_scores.csv,ST05_03a_split_protocol_10x1,nested_10x1_seed_grid_v01,20260517,10,0.9599650456851933,-0.0005849304432171687,non_nested_score_not_above_nested_reference,Невложенная оценка не выше выбранной вложенной внешней оценки; по данному сравнению оптимистический сдвиг не обнаружен.,stage05_non_nested_optimism_probe_derived,Разрешено использовать только для диагностики риска оптимистического смещения невложенной оценки; строка не заменяет вложенную внешнюю оценку качества.
